nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette
4;dĭſpūʹtable;;;;a.;68.0;72;disputable
4;prē-ĕngāʹged;F.;;;a.;66.0;167;pre-engaged
3;pleiʹădĕs;G.;;;n.;26.0;164;pleiades
1;sāne;;;;a.;70.0;188;sane
3;infăʹntè;;;;n.;21.0;118;infante
2;sŭʹffrage;;;;n.;40.0;206;suffrage
3;ŏʹccūpănt;;;;n.;52.0;150;occupant
2;lŭʹbb_e_r;;;;n.;65.0;132;lubber
3;fŏʹrcĭble;;;;a.;42.0;91;forcible
2;freeʹdom;;;;n.;32.0;93;freedom
1;brain;;;;n.;29.0;40;brain
5;ſtĕrēŏʹtŏmy;;;;n.;24.0;203;stereotomy
4;pavĭʹllĭon;F.;;;n.;37.0;158;pavillion
2;оʹk_e_r;;;;n.;36.0;151;oker
3;măʹnăcl_e_s;F.;;;n.;27.0;135;manacles
4;inſpĕʹction;L.;;;n.;46.0;120;inspection
2;clŭʹtches;;;;n.;28.0;52;clutches
6;inĕxūʹpĕrable;;;;a.;13.0;118;inexuperable
4;ŭnprŏnȯu̇ʹnced;;;;a.;13.0;231;unpronouonced
5;prŏsŏpŏp_o_ēʹā;;;;n.;39.0;171;prosopopoea
1;wheeze;;;;v.;59.0;237;wheeze
3;măʹncĭpāte;;;;v.;32.0;135;mancipate
2;quĕʹſtor;L.;;;n.;57.0;174;questor
5;rosĕcrūʹcĭăns;;;;n.;32.0;186;rosecrucians
1;mŭck;;;;n.;26.0;144;muck
5;lĕvĭgāʹtion;L.;;;n.;65.0;129;levigation
2;āmŏʹrt;F.;;;a.;47.0;25;amort
3;travāʹdo;;;;n.;47.0;217;travado
3;līʹk_e_lĭneſs;;;;n.;46.0;130;likeliness
3;elūʹſive;L.;;;a.;62.0;79;elusive
1;wīpe;;;;v.;4.0;239;wipe
1;ſlāte;;;;n.;37.0;196;slate
3;ŭnſtaʹyed;;;;a.;36.0;232;unstayed
2;bŏʹttŏm;;;;n.;61.0;39;bottom
2;hoʹbit;;;;n.;54.0;107;hobit
1;grīpes;;;;n.;61.0;101;gripes
1;prŏmpt;;;;v.;64.0;170;prompt
3;mŏʹckĕry;;;;n.;15.0;142;mockery
1;ſmăck;;;;n.;21.0;197;smack
5;recrĭmĭnāʹtor;;;;n.;37.0;178;recriminator
3;mŭʹrrĭon;;;;n.;10.0;145;murrion
2;flūʹent;L.;;;a.;47.0;90;fluent
2;ŭnboʹrn;;;;a.;13.0;226;unborn
5;nĕgōtiāʹtor;;;;n.;73.0;146;negotiator
3;cŏʹffĕrer;;;;n.;69.0;52;cofferer
4;infĭʹrmăry;F.;;;n.;46.0;118;infirmary
2;blīndnefs;;nbSyll>1 et pas d'accent tonic;;n.;32.0;38;blindnefs
2;ſeʹcant;;;;n.;31.0;192;secant
1;pŏʹliſh;L.;;;v.;15.0;165;polish
3;ŭnhōʹp_e_ful;;;;a.;29.0;229;unhopeful
1;trŏt;F.;;;n.;13.0;219;trot
3;ăʹpĕrtūre;L.;;;n.;54.0;27;aperture
1;rail;;;;n.;28.0;175;rail
3;ſtāʹtion;L.;;;n.;61.0;202;station
2;cŏʹllar;;;;n.;25.0;53;collar
1;mŭll;;;;v.;44.0;144;mull
3;loʹ_w_lĭneſs;;;;n.;57.0;132;lowliness
2;bĭʹlboes;;;;n.;38.0;37;bilboes
3;rĕʹcĭpè;;;;n.;59.0;177;recipe
3;hăʹrdĭneſs;;;;n.;18.0;104;hardiness
2;ȯu̇tſtrĭʹp;;;;v.;63.0;154;ouotstrip
1;myrr_h_;;;;n.;53.0;145;myrrh
1;free;;;;a.;29.0;93;free
2;rĕmŏʹrſe;L.;;;n.;11.0;181;remorse
2;prēpūʹce;L.;;;n.;31.0;168;prepuce
2;cŏʹral;F.;;;n.;40.0;59;coral
3;hăʹrmŏny;G.;;;n.;36.0;104;harmony
3;tĕʹſtāmĕnt;L.;;;n.;38.0;212;testament
1;ſphēre;G.;;;n.;47.0;200;sphere
2;băttooʹn;F.;;;n.;71.0;34;battoon
2;inſcrīʹbe;;;;v.;22.0;120;inscribe
1;_w_ry;;;;a.;40.0;240;wry
2;evĭʹnce;;;;v.;34.0;84;evince
1;thaw;;;;v.;72.0;212;thaw
4;pĕrſpĭʹcūous;;;;a.;4.0;161;perspicuous
4;lĭbāʹtion;;;;n.;3.0;130;libation
4;cĭrcŭʹmferënce;L.;;;n.;45.0;50;circumference
4;ătrōʹci_o_us;L.;;;a.;46.0;31;atrocious
2;rŭʹffles;;;;n.;4.0;187;ruffles
2;sĭʹlly;;;;a.;7.0;195;silly
3;bŭʹſineſs (bĭzzĭneſs);;;Aide à la {pron}.;n.;56.0;42;business bizziness
3;ăppĕʹllant;L.;;;n.;14.0;28;appellant
1;tall;;;;a.;24.0;210;tall
5;illĕʹvĭable;;;;a.;2.0;112;illeviable
2;eiʹ_gh_ty;;;;n.;3.0;79;eighty
2;rēb_u_ĭʹld;;;;v.;36.0;177;rebuild
3;lĭʹtăny;G.;;;n.;23.0;131;litany
4;ſagāʹcĭ_o_us;;;;a.;2.0;188;sagacious
3;reſtrĭʹngent;;;;a.;45.0;183;restringent
3;caʹlvĭniſts;;;;n.;8.0;44;calvinists
2;cŏʹnſtănt;L.;;;a.;48.0;57;constant
2;līʹv_e_ly;;;;a.;40.0;131;lively
4;hĕʹmĭcycle;G.;;;n.;4.0;106;hemicycle
5;inĕxpĕʹrĭence;L.;;;n.;5.0;118;inexperience
2;măʹnĭple;;;;n.;57.0;135;maniple
2;crēʹdĕnce;L.;;;n.;39.0;61;credence
2;ĕnsūeʹ;;;;v.;61.0;81;ensue
2;cieʹling;F.;;;n.;25.0;50;cieling
2;nīʹsŭs;L.;;;n.;62.0;147;nisus
2;prōʹem;;;;n.;13.0;170;proem
3;ăʹctūal;F.;;;a.;28.0;21;actual
3;hăʹbĕrdīne;;;;n.;3.0;103;haberdine
2;cīʹph_e_r;L.;;;n.;36.0;50;cipher
3;dĭſtrŭʹſtful;;;;a.;68.0;73;distrustful
5;amphĭtheʹatre;G.;;;n.;55.0;25;amphitheatre
4;sŏdāʹlĭty;;;;n.;29.0;198;sodality
2;quīʹlets;;;;n.;68.0;174;quilets
2;auʹſtral;L.;;;a.;55.0;32;austral
1;oaʹkăm;;;;n.;4.0;149;oakam
4;cŏʹnfŏrmable;;;;a.;50.0;56;conformable
5;vĭʹsĭonăry;F.;;;n.;58.0;224;visionary
2;theʹr_e_fore;;;;p.;21.0;213;therefore
5;cŏrŏnāʹtion;L.;;;n.;60.0;59;coronation
2;sĭʹſtrŭm;;;;n.;60.0;195;sistrum
4;emŏʹllĭĕnt;L.;;;a.;38.0;80;emollient
2;ŭʹrchin;;;;n.;50.0;234;urchin
3;chăʹtĕlan;;;;n.;66.0;48;chatelan
4;săngŭĭʹflū_o_us;L.;;;a.;72.0;188;sanguifluous
5;delĕctāʹtion;L.;;;n.;66.0;66;delectation
3;cȯu̇ʹnterſcărp;;;;n.;49.0;60;couonterscarp
3;sĭgnāʹtūre;L.;;;n.;65.0;194;signature
3;mŏʹnŏc_h_ord;G.;;;n.;2.0;143;monochord
2;găʹrniſh;F.;;;n.;47.0;96;garnish
2;incīʹte;L.;;;v.;45.0;115;incite
2;reaʹſon;F.;;;n.;22.0;177;reason
2;ſtrĭʹplĭng;;;;n.;70.0;204;stripling
2;trĭʹmmer;;;;n.;44.0;218;trimmer
2;wĭʹtchcrăft;;;;n.;11.0;239;witchcraft
4;cŏʹnſcĭonable;L.;;;n.;16.0;57;conscionable
4;indĕʹcĕncy;L.;;;n.;56.0;116;indecency
2;mĕʹrry;;;;a.;32.0;139;merry
3;bĕʹnĕfit;;;;n.;32.0;36;benefit
2;ŏʹffĭce;L.;;;n.;18.0;151;office
1;ſpawn;;;;n.;14.0;200;spawn
4;tarăʹntūlā;;;;n.;59.0;210;tarantula
4;impūʹrĭty;L.;;;n.;58.0;114;impurity
4;incŏʹrpŏrāte;L.;;;v.;21.0;116;incorporate
1;pīke;F.;;;n.;48.0;162;pike
4;panĕgy̆ʹriſt;;;;n.;14.0;156;panegyorist
4;pĕrcĕʹption;;;;n.;71.0;159;perception
3;pūdĕʹndā;L.;;;n.;42.0;172;pudenda
1;tĭlt;;;;n.;50.0;214;tilt
2;levăʹnt;;;;n.;58.0;129;levant
1;flaunt;;;;v.;62.0;89;flaunt
1;măp;L.;;;n.;8.0;136;map
2;cīʹmā;;;;n.;26.0;50;cima
1;swăp;;;;v.;57.0;208;swap
2;ſcȯu̇ʹndrel;;;;n.;22.0;191;scouondrel
5;defălcāʹtion;L.;;;n.;15.0;66;defalcation
3;ăʹnchŏvy;;;;n.;21.0;26;anchovy
2;cŏmplŏʹt;F.;;;v.;20.0;55;complot
1;or;;;;n.;45.0;152;or
2;tŭʹrtle;F.;;;n.;29.0;220;turtle
3;obsĕʹrvănt;L.;;;a.;16.0;150;observant
3;ĕʹnĕmā;;;;n.;21.0;81;enema
2;ĭʹnky;;;;a.;55.0;119;inky
2;păʹnic;;;;n.;16.0;156;panic
5;iʹntĕrlūde;L.;;;n.;68.0;121;interlude
2;betweʹen;;;;p.;8.0;37;between
1;bŭn;;;;n.;30.0;42;bun
6;irrĕsŏlūʹtion;;;;n.;33.0;124;irresolution
2;sŏʹphiſt;;;;n.;23.0;199;sophist
2;sĭʹrnāme;;;;n.;56.0;195;sirname
1;ſaw;;;;n.;68.0;189;saw
2;nĭʹnny;;;;n.;56.0;147;ninny
1;naif;F.;;;a.;8.0;145;naif
2;băʹc_h_us;;;;n.;7.0;33;bachus
2;măʹrten;;;;n.;54.0;136;marten
4;merĭʹdĭan;;;;n.;26.0;139;meridian
3;rĕdŭʹndănt;;;;a.;6.0;179;redundant
2;mĕʹtal;;;;n.;43.0;139;metal
2;ĕʹngīne;F.;;;n.;31.0;81;engine
4;ŏntŏʹlŏgy;;;;n.;69.0;151;ontology
4;ĕpĭʹphŏrā;G.;;;n.;39.0;82;epiphora
2;ăcquĭʹſts;;;;n.;13.0;21;acquists
2;nīʹghtſhāde;;;;n.;48.0;147;nightshade
3;ŭndĕrrāʹte;;;;v.;49.0;227;underrate
2;flȯʹẇer;F.;;;n.;42.0;90;flower
4;ăffĭdāʹvit;;;;n.;57.0;22;affidavit
3;hăʹppĭneſs;;;;n.;10.0;104;happiness
1;răſp;;;;n.;44.0;176;rasp
3;intĕrleaʹve;;;;v.;60.0;121;interleave
4;răpāʹcĭ_o_us;;;;a.;23.0;176;rapacious
1;drŭb;;;;v.;58.0;76;drub
3;thĭʹthĕrward;;;;p.;44.0;213;thitherward
3;prīʹŏreſs;F.;;;n.;37.0;169;prioress
3;tĕʹſtĭfy;L.;;;v.;47.0;212;testify
3;elāʹted;;;;a.;12.0;79;elated
1;ſcold;;;;v.;6.0;191;scold
2;iʹngrĕſs;L.;;;n.;17.0;119;ingress
5;authŏʹrĭtătive;;;;a.;58.0;32;authoritative
4;ŭnbrīʹdled;;;;a.;20.0;226;unbridled
1;plŏt;F.;;;n.;40.0;164;plot
2;ănnĕʹx;L.;;;v.;53.0;26;annex
4;antĭʹthe˘ſis;G.;;;n.;41.0;27;antithesis
3;ŏʹvĕrbid;;;;v.;54.0;153;overbid
3;sŭbjāʹcent;L.;;;a.;48.0;205;subjacent
1;pap;;;;n.;27.0;156;pap
5;rĕſtĭtūʹtion;L.;;;n.;34.0;183;restitution
4;mĕmŏrable;;nbSyll>1 et pas d'accent tonic;;a.;71.0;138;memorable
1;pyx;G.;;;n.;72.0;173;pyx
3;măʹrvĕl_o_us;;;;a.;63.0;136;marvelous
3;ovĕrwhĕʹlm;;;;v.;30.0;154;overwhelm
4;mĕʹrcĕnăry;L.;;;n.;16.0;139;mercenary
1;pĭg;;;;n.;43.0;162;pig
3;profāʹn_e_neſs;;;;n.;16.0;170;profaneness
2;jĕʹrg_u_er;;;;n.;39.0;111;jerguer
6;măchĭavĭʹlĭan;;;;a.;4.0;134;machiavilian
4;plāʹgĭăriſm;;;;n.;52.0;163;plagiarism
3;ŭnlāʹd_e_n;;;;a.;73.0;229;unladen
1;sŏft;;;;a.;37.0;198;soft
2;bŏro_ugh_;;nbSyll>1 et pas d'accent tonic;;n.;50.0;39;borough
2;hăʹrăſs;;;;v.;13.0;104;harass
1;frĭfk;;;;v.;67.0;93;frifk
2;lauʹdable;L.;;;a.;18.0;128;laudable
2;boʹ_w_yer;;;;n.;11.0;40;bowyer
3;căʹrăvăʹn;;;;n.;30.0;45;caravan
3;vĕʹrbĕrāte;;;;v.;50.0;222;verberate
5;ŭndenīʹable;;;;a.;33.0;227;undeniable
1;link;;;;n.;71.0;130;link
4;ŭncĭʹrcŭmſpĕct;L.;;;a.;44.0;226;uncircumspect
5;trănſmĭgrāʹtion;L.;;;n.;18.0;217;transmigration
1;praiſe;F.;;;n.;13.0;167;praise
3;bŏʹckĕnel;;;;n.;72.0;38;bockenel
4;extĭʹnction;;;;n.;3.0;87;extinction
3;prāʹvĭty;;;;n.;18.0;167;pravity
4;ŭnrīʹvaled;;;;a.;56.0;231;unrivaled
4;reaʹsŏnable;;;;a.;23.0;177;reasonable
1;waiſt;;;;n.;26.0;235;waist
1;googe;;;pas de {POS} indiquée dans le dictionnaire.;;3.0;100;googe
2;jeʹwel;;;;n.;50.0;111;jewel
3;ŭndĕrsĕʹll;;;;v.;50.0;227;undersell
2;tĕʹtrărc_h_;;;;n.;56.0;212;tetrarch
4;tȳrăʹnnīze;L.;;;v.;68.0;220;tyrannize
4;ŭndĭvīʹded;;;;a.;72.0;227;undivided
3;sy̆ʹcŏphănt;G.;;;n.;23.0;209;syocophant
3;ĕʹquable;;;;a.;54.0;82;equable
6;ŭnāʹlĭĕnable;;;;a.;43.0;225;unalienable
2;pōʹlar;L.;;;n.;11.0;165;polar
5;inăʹppĕtĕncy;L.;;;n.;3.0;115;inappetency
3;mālecŏntents;L.;nbSyll>1 et pas d'accent tonic;;n.;72.0;134;malecontents
1;corn;;;;n.;51.0;59;corn
3;būcŏʹlics;G.;;;n.;67.0;41;bucolics
1;plaint;;;;n.;57.0;163;plaint
5;nŏnagĕʹsĭmal;L.;;;n.;17.0;148;nonagesimal
1;fy;;;;p.;27.0;95;fy
1;jōve;;;;n.;69.0;123;jove
1;tĕn;;;;n.;60.0;211;ten
4;lĕntĭʹcūlā;;;;n.;41.0;129;lenticula
1;loom;;;;n.;27.0;132;loom
1;ſnail;;;;n.;53.0;197;snail
3;cŭʹrsĭtor;;;;n.;43.0;63;cursitor
6;trănsfĭgŭrāʹtion;;;;n.;72.0;216;transfiguration
2;tūʹ_e_ſday;;;;n.;57.0;219;tuesday
2;fōʹr_e_tāſte;;;;n.;10.0;92;foretaste
5;gĕnĕrāʹtion;;;;n.;26.0;97;generation
3;apŏʹſtāte;G.;;;n.;70.0;27;apostate
1;twīne;;;;n.;48.0;220;twine
2;bŭʹllfĭnch;;;;n.;12.0;42;bullfinch
1;_w_reak;;;;v.;14.0;240;wreak
2;demuʹr;F.;;;v.;30.0;67;demur
3;sŏʹldĭer;;;;n.;47.0;198;soldier
2;mŭʹggy;;;;a.;37.0;144;muggy
4;dĭſpāʹrĭty;F.;;;n.;43.0;72;disparity
3;demeaʹno_u_r;;;;n.;18.0;67;demeanour
2;sĕʹnate;L.;;;n.;34.0;193;senate
3;ăbĕʹtment;;;;n.;20.0;19;abetment
3;prŏʹmptĭtūde;;;;n.;66.0;170;promptitude
3;incĕʹntĭve;L.;;;n.;23.0;115;incentive
1;realm;;;;n.;16.0;177;realm
2;heeʹdleſs;;;;a.;49.0;105;heedless
2;mȯu̇ʹldy;;;;a.;8.0;144;mouoldy
3;mȯu̇ʹntĕbănk;;;;n.;16.0;144;mouontebank
2;vĭʹcar;L.;;;n.;48.0;223;vicar
3;nŭʹllĭty;;;;n.;5.0;149;nullity
2;ſcŭʹttle;;;;n.;10.0;192;scuttle
1;knell;;;;n.;32.0;126;knell
1;loam;;;;n.;53.0;131;loam
2;bēſtrīde;;nbSyll>1 et pas d'accent tonic;;v.;71.0;36;bestride
1;crăg;;;;n.;17.0;61;crag
2;caʹllus;L.;;;n.;4.0;44;callus
4;vŏlĭʹtion;;;;n.;4.0;234;volition
1;sŭrge;;;;n.;8.0;208;surge
3;demŭʹrrage;;;;n.;32.0;67;demurrage
2;rĕʹbel;;;;n.;31.0;177;rebel
2;lăʹndreſs;;;;n.;34.0;127;landress
1;roof;;;;n.;19.0;186;roof
3;iʹnnŏcĕnce;L.;;;n.;67.0;119;innocence
3;ŭndĕrtāʹke;;;;v.;53.0;227;undertake
3;păʹrtĭſan;;;;n.;41.0;157;partisan
2;iʹſt_h_mus;G.;;;n.;54.0;124;isthmus
3;trīʹple;;;;a.;57.0;218;triple
2;d_o_ŭʹbler;;;;n.;41.0;75;doubler
1;hoarſe;;;;a.;48.0;107;hoarse
2;cȳʹpher;;;;n.;6.0;64;cypher
3;ăthlēʹtic;G.;;;n.;39.0;31;athletic
3;ĕʹſcūlents;L.;;;n.;42.0;83;esculents
2;iʹnsĕct;L.;;;a.;25.0;120;insect
3;ăʹrc_h_ĭtrāve;;;;n.;10.0;29;architrave
1;ēves;;;;n.;29.0;84;eves
4;ŭnpĕrfŏʹrmed;;;;a.;61.0;230;unperformed
4;effrŏʹntĕry;F.;;;n.;59.0;78;effrontery
1;ſlăp;;;;n.;35.0;196;slap
3;ăppraiʹſer;;;;n.;33.0;28;appraiser
3;mŭʹndĭfy;;;;v.;67.0;144;mundify
4;cŏnsĭʹſtŏry;;;;n.;35.0;57;consistory
3;trăʹvĕller;;;;n.;51.0;217;traveller
2;pāʹrĕnt;L.;;;n.;72.0;156;parent
4;mŏrtăʹlĭty;;;;n.;48.0;143;mortality
2;fŭʹrlong;;;;n.;73.0;94;furlong
3;mŏrtgăgeʹe;;;;n.;51.0;143;mortgagee
1;tȯẇn;;;;n.;25.0;216;town
2;deprĕʹſs;L.;;;v.;5.0;68;depress
3;defīʹl_e_ment;;;;n.;35.0;66;defilement
4;dūpliʹcĭty;F.;;;n.;32.0;77;duplicity
1;gleam;;;;n.;64.0;98;gleam
2;_w_răʹpp_e_r;;;;n.;11.0;240;wrapper
1;ĕlf;;;;n.;40.0;79;elf
2;detăʹch;F.;;;v.;66.0;68;detach
2;vĭʹsĭt;L.;;;n.;59.0;224;visit
3;quīʹrĕſt_e_r;L.;;;n.;15.0;175;quirester
5;ŭnpĭʹnĭoned;;;;a.;65.0;230;unpinioned
3;ĭmāʹgĭne;L.;;;v.;23.0;112;imagine
5;inquĭsĭʹtion;;;;n.;11.0;120;inquisition
3;deaʹnĕry;;;;n.;8.0;65;deanery
2;nŭʹmbles;;;;n.;7.0;149;numbles
2;tĕʹrror;;;;n.;33.0;212;terror
4;cŭlmĭʹf_ĕ_rous;L.;;;a.;3.0;63;culmiferous
2;cŏʹnfīnes;F.;;;n.;41.0;56;confines
5;dĕſŏlāʹtion;;;;n.;43.0;68;desolation
2;inſtrŭʹct;L.;;;v.;68.0;120;instruct
3;intĕʹrprĕt;L.;;;v.;15.0;122;interpret
1;frĭth;;;;n.;69.0;93;frith
2;păʹmphlet;;;;n.;57.0;155;pamphlet
5;conſtĕllāʹtĭon;;;;n.;49.0;57;constellation
